station,train,test
A509,51668,10202
A520,47678,9967
A525,51461,7807
A529,46382,10173
A619,51194,9005
A701,52517,9493
A704,55404,3721
A705,64343,10138
A707,27522,9265
A708,62333,8863
A711,46046,9936
A712,47230,10085
A713,51641,8641
A714,50118,9253
A715,48089,10092
A716,44285,6778
A718,45976,9483
A725,37667,3842
A726,51047,6358
A727,46597,7669
A728,48672,9446
A729,42018,9621
A733,45553,8124
A734,40090,9216
A735,43352,4638
A736,46673,7393
A737,38596,4547
A738,44419,5920
A739,46967,5394
A740,45585,4149
A741,45053,8798
A746,38951,3778
A747,42799,9058
A748,36976,10198
A753,39056,5030
A755,24571,9350
A759,22486,5988
A849,28558,7317
A850,35429,8687
